"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","1","0","2","6","41","13","30","6","5","0","13","2","2","0","0","0","0","0","0","0","0","","","","","",""
"区南部","0","5","13","30","72","14","61","16","11","3","20","3","0","0","0","0","0","1","1","0","0","","","","","",""
"区西南部","1","1","6","26","42","12","41","8","7","0","19","3","5","1","0","1","0","0","0","0","0","","","","","",""
"区西部","0","3","1","30","49","17","25","4","6","0","15","3","4","0","0","1","0","0","1","0","0","","","","","",""
"区西北部","1","0","11","28","73","13","34","11","18","0","26","10","3","0","0","0","0","0","0","0","0","","","","","",""
"区東北部","0","0","14","29","75","21","19","6","19","0","46","4","6","1","0","3","0","0","6","0","0","","","","","",""
"区東部","0","0","9","31","63","18","24","13","10","0","27","2","7","0","0","1","0","0","0","0","0","","","","","",""
"西多摩","0","0","12","1","14","4","7","8","3","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","3","3","8","54","127","32","64","17","15","0","21","11","6","0","0","0","0","0","0","0","0","","","","","",""
"北多摩西部","0","0","3","15","35","19","22","6","7","0","4","2","4","0","0","0","0","0","0","0","0","","","","","",""
"北多摩南部","0","1","13","25","41","11","40","15","7","0","8","5","5","1","0","0","0","0","0","0","0","","","","","",""
"北多摩北部","0","0","16","30","51","15","27","5","11","1","7","8","5","1","0","3","0","0","2","0","0","","","","","",""
"島しょ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","6","13","108","305","683","189","394","115","119","4","207","53","47","4","0","9","0","1","10","0","0","","","","","",""
