"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","10","7","0"
"1〜4歳","0","0","0","0","0","0","9","22","1"
"5〜9歳","0","0","0","0","0","0","2","5","0"
"10〜14歳","1","0","1","0","0","0","0","0","0"
"15〜19歳","21","2","2","10","2","0","3","1","0"
"20〜24歳","65","16","8","21","9","1","6","0","1"
"25〜29歳","56","16","11","31","3","0","4","1","1"
"30〜34歳","48","20","6","28","8","0","3","0","0"
"35〜39歳","20","18","1","16","0","0","6","2","0"
"40〜44歳","16","6","4","7","1","1","1","1","0"
"45〜49歳","10","9","2","6","4","0","4","0","0"
"50〜54歳","4","5","0","4","2","0","6","1","0"
"55〜59歳","0","4","1","2","2","0","9","2","1"
"60〜64歳","1","3","0","1","2","0","15","2","0"
"65〜69歳","0","2","0","0","2","0","12","4","1"
"70歳以上","0","3","1","0","0","0","70","4","1"
"合計","242","104","37","126","35","2","160","52","6"
