"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","9","0","0"
"1〜4歳","0","0","0","0","0","0","22","3","1"
"5〜9歳","0","0","0","0","0","0","2","1","0"
"10〜14歳","1","1","0","1","0","0","3","0","0"
"15〜19歳","6","2","5","2","0","0","1","0","0"
"20〜24歳","55","10","13","26","2","0","0","0","0"
"25〜29歳","48","15","18","24","6","3","0","0","0"
"30〜34歳","35","16","10","14","1","1","2","0","0"
"35〜39歳","32","12","14","17","2","1","2","0","0"
"40〜44歳","19","18","12","17","3","0","1","0","0"
"45〜49歳","22","16","3","11","0","0","2","0","0"
"50〜54歳","8","7","7","1","0","0","2","0","0"
"55〜59歳","5","12","1","2","0","1","1","0","0"
"60〜64歳","4","2","2","2","0","0","1","0","0"
"65〜69歳","1","1","3","1","0","0","7","0","0"
"70歳以上","0","4","0","0","0","0","39","5","5"
"合計","236","116","88","118","14","6","94","9","6"
