"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","76","3","3","2","37","1","9","0","4","0","5","3","0","0","0","4","0","0","1","0","","","","","",""
"区南部","80","1","2","4","49","1","12","0","5","0","8","7","0","0","0","0","0","0","0","0","","","","","",""
"区西南部","88","0","0","2","15","3","8","2","2","0","6","0","1","0","0","0","0","0","0","0","","","","","",""
"区西部","116","0","0","0","34","0","5","2","4","0","6","2","1","0","0","1","0","0","1","0","","","","","",""
"区西北部","124","0","0","2","13","4","9","1","4","0","3","7","0","0","0","0","0","0","0","0","","","","","",""
"区東北部","66","1","0","3","5","5","12","1","8","0","6","2","1","0","1","1","0","0","2","1","","","","","",""
"区東部","104","0","0","10","29","0","15","1","5","0","15","3","2","0","0","0","0","0","0","0","","","","","",""
"西多摩","25","0","0","0","6","2","2","0","1","0","1","6","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","141","1","0","13","35","1","11","3","7","0","25","13","1","0","0","0","0","0","0","0","","","","","",""
"北多摩西部","22","0","0","0","4","1","3","0","2","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩南部","40","0","0","0","3","0","1","1","3","0","3","2","0","0","0","0","0","0","1","0","","","","","",""
"北多摩北部","39","1","0","4","23","1","3","1","1","0","1","0","0","0","0","4","0","0","0","0","","","","","",""
"島しょ","0","0","0","1","0","0","4","0","1","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","921","7","5","41","253","19","94","12","47","0","80","45","6","0","1","10","0","0","5","1","","","","","",""
