"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","4","39","1","0","6","7","0","10","1","0","0","0","0","0","0","0","0","0","0","0","0","1","11","4","3","0","2","2","2"
"中央区","4","16","1","0","4","8","0","37","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","5","3","1","0","0","0"
"みなと","4","65","5","3","6","18","0","128","3","2","13","0","1","0","0","0","0","0","0","0","0","0","15","9","6","0","1","1","1"
"新宿区","1","88","0","2","10","28","2","57","0","0","9","0","0","0","0","1","0","0","1","0","0","0","9","12","8","2","2","2","2"
"文京","2","59","0","0","7","17","3","99","3","3","8","0","0","0","0","1","0","0","0","0","0","0","4","7","4","1","1","1","1"
"台東","1","37","3","0","5","28","1","98","2","2","12","1","0","0","0","0","0","0","0","0","0","0","0","7","4","0","0","0","0"
"墨田区","1","77","0","2","4","30","0","65","0","2","16","0","1","0","0","0","0","0","8","0","0","0","13","8","5","1","1","1","1"
"江東区","5","80","1","4","18","43","1","223","2","5","34","0","0","0","0","0","0","0","0","0","0","0","0","14","9","1","0","0","0"
"品川区","2","52","1","0","6","26","1","90","0","1","42","0","0","1","0","0","0","0","0","0","0","0","0","12","8","1","0","0","0"
"目黒区","1","51","0","0","4","11","0","78","1","1","15","0","0","0","0","0","0","0","0","0","0","0","0","8","5","1","0","0","0"
"大田区","23","128","9","9","28","82","3","231","3","3","73","1","0","1","0","0","0","0","1","0","0","0","7","21","13","2","1","1","1"
"世田谷","11","207","10","0","33","57","0","237","9","2","73","3","1","0","0","6","0","0","4","0","0","0","17","25","16","2","2","2","2"
"渋谷区","0","36","0","1","6","8","6","40","0","0","7","0","0","0","0","1","0","0","0","0","0","0","11","7","4","1","1","1","1"
"中野区","5","90","1","2","21","45","1","125","1","4","28","1","0","0","0","0","0","0","0","0","0","0","0","10","6","1","0","0","0"
"杉並","4","110","5","10","5","32","2","119","9","0","10","0","1","1","0","0","0","0","17","0","0","0","9","17","11","1","2","2","2"
"池袋","1","75","1","2","6","11","1","72","3","1","29","0","1","1","0","0","0","0","0","0","0","0","0","8","5","1","1","1","1"
"北区","0","86","4","4","17","17","1","126","2","3","26","0","0","0","0","0","0","0","0","0","0","0","0","11","7","1","0","0","0"
"荒川区","1","76","2","1","18","17","0","156","1","3","12","1","0","0","0","0","0","0","0","0","0","0","0","7","4","1","0","0","0"
"板橋区","2","143","2","1","5","18","4","66","11","3","15","0","1","0","0","0","0","0","1","0","0","0","7","16","10","2","1","1","1"
"練馬区","2","141","3","0","39","35","1","199","0","3","49","2","0","0","0","0","0","0","0","0","0","0","0","21","13","2","0","0","0"
"足立","6","147","16","14","29","55","1","136","3","5","43","2","0","0","0","1","0","0","0","0","0","0","0","20","13","2","0","0","0"
"葛飾区","1","106","1","1","17","22","1","84","1","0","22","0","0","0","0","0","0","0","3","0","0","0","9","13","8","1","1","1","1"
"江戸川","9","177","6","4","19","35","7","138","0","4","53","2","0","0","0","0","0","0","0","0","0","0","0","19","12","2","0","0","0"
"八王子市","6","186","9","7","53","97","2","306","2","4","58","2","0","0","0","0","0","0","0","0","0","0","22","18","11","2","1","1","1"
"町田市","2","115","1","1","13","35","1","93","2","2","32","1","0","0","0","1","0","0","0","0","0","0","0","13","8","1","0","0","0"
"西多摩","2","104","2","0","10","14","0","86","6","0","9","0","0","0","0","0","0","0","0","0","0","0","9","14","8","1","1","1","1"
"南多摩","1","95","4","4","14","30","1","121","0","2","36","1","0","0","0","1","0","0","0","0","0","0","0","14","9","1","0","0","0"
"多摩立川","13","122","11","6","44","30","3","206","1","7","44","1","1","0","0","0","0","0","0","0","0","0","3","21","14","2","1","1","1"
"多摩府中","8","237","9","9","63","64","5","402","25","5","51","2","3","0","0","4","0","0","3","0","0","0","30","33","21","3","3","3","3"
"多摩小平","13","207","8","12","61","70","2","497","1","6","55","0","1","0","0","1","0","0","5","0","0","0","21","23","15","2","2","2","2"
"島しょ","0","28","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","2","1","0","1","1","1"
"合計","135","3180","116","99","571","990","51","4326","92","74","874","20","11","4","0","18","0","0","43","0","0","1","208","419","264","39","25","25","25"
