"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","0","0","0","1","6","1","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","","","","","",""
"中央区","0","0","0","3","19","12","1","2","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"みなと","5","3","1","1","30","1","0","0","1","0","0","0","0","0","0","0","0","3","0","0","0","0","0","","","","","",""
"新宿区","5","0","0","1","47","4","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","","","","","",""
"文京","2","0","0","0","24","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","","","","","",""
"台東","0","0","0","4","40","5","1","3","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","0","0","0","0","16","3","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"江東区","1","0","0","4","17","4","0","2","5","0","0","0","0","0","0","0","0","2","0","0","0","0","0","","","","","",""
"品川区","2","0","0","14","44","6","0","0","1","0","0","0","0","3","0","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","1","0","0","3","18","4","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"大田区","4","0","1","9","65","5","1","2","3","0","0","0","0","0","0","0","0","2","0","0","0","0","0","","","","","",""
"世田谷","7","0","0","1","56","3","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"渋谷区","2","0","1","1","53","0","0","0","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","","","","","",""
"中野区","1","0","0","1","57","4","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"杉並","1","0","0","2","18","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"池袋","5","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北区","3","0","0","2","52","6","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"荒川区","0","0","0","0","8","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"板橋区","0","0","0","0","32","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","","","","","",""
"練馬区","4","0","0","0","20","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"足立","0","0","0","0","31","3","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"葛飾区","0","0","0","15","30","3","0","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"江戸川","1","0","2","3","80","10","0","2","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"八王子","2","0","0","1","14","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"秋川","0","0","0","4","14","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"町田市","0","0","0","0","42","2","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","","","","","",""
"多摩川","5","0","0","2","58","6","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","6","0","0","0","31","0","0","0","2","0","0","0","0","2","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩立川","2","0","0","2","11","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"村山大和","0","0","0","0","11","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"府中小金井","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"狛江調布","1","0","0","1","13","2","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"三鷹武蔵野","5","0","0","7","31","5","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩小平","3","5","1","3","58","6","0","3","4","0","1","0","0","1","0","0","0","0","0","0","1","0","0","","","","","",""
"多摩東村山","1","0","0","1","32","1","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","","","","","",""
"島しょ","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","70","8","6","89","1090","105","4","25","45","0","1","2","0","7","2","1","0","13","0","1","2","0","0","","","","","",""
