"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","7","0","0"
"1〜4歳","0","0","0","0","0","0","6","0","0"
"5〜9歳","0","0","0","0","0","0","6","0","0"
"10〜14歳","0","0","0","0","0","0","2","0","0"
"15〜19歳","26","2","3","7","0","0","4","0","0"
"20〜24歳","62","16","18","26","7","1","1","0","1"
"25〜29歳","52","17","9","37","3","2","0","0","0"
"30〜34歳","33","18","8","26","7","0","2","1","0"
"35〜39歳","27","12","3","16","3","2","4","1","1"
"40〜44歳","15","7","2","6","3","0","4","0","1"
"45〜49歳","7","3","2","8","0","0","3","0","1"
"50〜54歳","12","7","2","2","4","1","4","0","1"
"55〜59歳","2","2","1","4","1","0","5","2","0"
"60〜64歳","0","1","0","2","0","0","5","1","2"
"65〜69歳","0","1","0","0","1","0","10","2","1"
"70歳以上","0","0","0","0","0","0","45","3","6"
"合計","236","86","48","134","29","6","108","10","14"
