"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","11","0","0"
"1〜4歳","0","0","0","0","0","0","5","4","0"
"5〜9歳","0","0","0","0","0","0","3","0","0"
"10〜14歳","0","0","0","0","0","0","2","1","0"
"15〜19歳","9","3","0","3","0","0","1","0","0"
"20〜24歳","44","10","15","17","2","0","0","0","0"
"25〜29歳","40","17","24","19","2","0","1","0","0"
"30〜34歳","31","7","11","14","1","0","0","0","0"
"35〜39歳","30","15","14","17","2","0","0","0","0"
"40〜44歳","16","5","12","14","1","0","2","0","0"
"45〜49歳","17","11","5","4","2","0","3","0","0"
"50〜54歳","7","7","3","8","0","0","2","0","0"
"55〜59歳","3","3","0","2","0","0","3","0","0"
"60〜64歳","2","4","1","1","0","0","6","0","0"
"65〜69歳","0","1","1","1","0","0","4","0","0"
"70歳以上","0","1","1","0","0","0","24","4","0"
"合計","199","84","87","100","10","0","67","9","0"
