"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","4","2","0"
"1〜4歳","0","0","0","0","0","0","5","6","0"
"5〜9歳","0","0","0","0","0","0","2","0","0"
"10〜14歳","0","0","0","0","0","0","0","1","0"
"15〜19歳","7","1","0","4","0","0","1","0","0"
"20〜24歳","11","4","3","11","0","0","0","0","0"
"25〜29歳","21","5","4","18","0","0","0","0","0"
"30〜34歳","11","1","2","20","1","0","2","0","0"
"35〜39歳","10","5","5","12","0","1","1","1","0"
"40〜44歳","9","2","3","9","0","0","2","0","0"
"45〜49歳","6","2","1","2","0","1","1","0","0"
"50〜54歳","3","1","2","2","0","1","8","0","1"
"55〜59歳","3","1","1","0","0","0","6","1","0"
"60〜64歳","1","1","0","1","0","0","9","2","0"
"65〜69歳","0","0","0","0","0","0","12","0","2"
"70歳以上","0","0","0","1","0","0","45","3","2"
"合計","82","23","21","80","1","3","98","16","5"
