"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"〜5ヶ月","1","22","14","0","1","8","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","3","70","29","5","1","44","0","8","0","11","23","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","8","73","37","18","11","114","1","34","0","24","73","1","7","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2歳","14","49","23","22","9","71","0","29","0","4","47","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3歳","10","42","11","29","16","74","3","16","0","3","55","0","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"4歳","24","48","1","21","29","70","1","9","0","1","44","1","1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1","0"
"5歳","37","42","2","19","51","66","5","8","0","1","41","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0"
"6歳","35","37","2","13","47","58","2","6","0","0","14","3","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7歳","26","54","0","2","28","36","2","4","1","0","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8歳","28","59","0","2","25","32","3","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9歳","19","56","1","2","15","19","5","1","0","0","6","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","68","301","1","3","24","49","4","2","0","0","4","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15〜19歳","23","259","1","0","4","11","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","31","554","1","0","11","44","0","2","0","0","2","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30〜39歳","27","522","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40〜49歳","40","568","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","14","584","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","5","318","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","2","240","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","1","147","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"合計","416","4045","123","136","272","696","26","121","1","45","320","9","15","3","0","18","0","0","0","0","0","4","1","0","0","0","0","3","0"
