"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","448","2","4","7","45","6","1","2","1","0","0","1","0","0","0","3","0","0","1","0","4","","","","","",""
"区南部","690","2","3","20","107","9","2","3","8","0","1","1","2","0","0","1","0","0","1","0","0","","","","","",""
"区西南部","746","1","4","13","76","6","0","1","7","1","0","1","1","1","0","1","0","1","1","0","7","","","","","",""
"区西部","612","1","5","11","92","18","0","0","3","0","0","2","0","1","0","1","0","0","1","0","3","","","","","",""
"区西北部","1102","1","1","26","92","18","1","1","8","2","0","1","1","0","0","1","0","0","1","0","9","","","","","",""
"区東北部","955","4","4","18","103","12","3","3","7","0","1","0","0","0","0","0","0","0","3","0","2","","","","","",""
"区東部","862","6","1","32","113","18","2","15","9","0","1","3","2","0","0","1","0","1","0","0","3","","","","","",""
"西多摩","329","0","0","8","22","3","0","2","1","0","0","1","0","0","0","1","0","0","0","0","0","","","","","",""
"南多摩","1400","7","2","63","122","18","1","5","5","0","1","4","2","0","0","2","0","0","0","0","2","","","","","",""
"北多摩西部","504","2","0","9","39","8","0","1","4","0","0","0","0","0","0","0","0","0","0","0","5","","","","","",""
"北多摩南部","804","3","0","15","59","7","0","6","7","1","0","1","3","1","0","2","0","0","4","0","7","","","","","",""
"北多摩北部","761","1","5","20","50","6","0","1","6","0","0","4","0","0","0","2","0","0","1","0","2","","","","","",""
"島しょ","16","0","0","1","8","0","1","6","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","9229","30","29","243","928","129","11","46","66","4","4","19","11","3","0","15","0","2","13","0","44","","","","","",""
