"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","8","11","0"
"1〜4歳","0","0","0","0","0","0","6","22","1"
"5〜9歳","0","0","0","0","0","0","0","7","0"
"10〜14歳","0","1","0","0","0","0","2","1","0"
"15〜19歳","10","2","1","4","0","0","1","1","0"
"20〜24歳","49","16","10","12","0","0","4","2","0"
"25〜29歳","38","16","11","23","0","0","3","1","0"
"30〜34歳","31","26","10","10","2","0","2","4","0"
"35〜39歳","19","13","7","13","0","0","2","0","0"
"40〜44歳","8","12","5","6","0","1","3","1","0"
"45〜49歳","4","6","4","4","0","0","3","0","0"
"50〜54歳","3","7","3","2","0","0","8","3","0"
"55〜59歳","1","4","2","2","0","0","9","0","0"
"60〜64歳","1","1","2","0","0","0","16","2","1"
"65〜69歳","0","0","0","0","0","0","11","2","0"
"70歳以上","0","0","0","0","0","0","58","9","4"
"合計","164","104","55","76","2","1","136","66","6"
