"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","12","12","0"
"1〜4歳","0","0","0","0","0","0","2","22","0"
"5〜9歳","0","0","0","0","0","0","1","4","0"
"10〜14歳","0","0","0","0","0","0","1","1","0"
"15〜19歳","30","5","5","3","3","0","0","0","1"
"20〜24歳","63","12","14","23","14","0","1","0","0"
"25〜29歳","56","17","6","32","9","1","1","2","0"
"30〜34歳","29","25","4","20","7","1","1","5","0"
"35〜39歳","21","15","4","12","5","0","2","0","0"
"40〜44歳","14","6","2","6","1","0","2","0","0"
"45〜49歳","2","2","1","6","3","0","2","0","0"
"50〜54歳","4","4","1","6","5","1","3","2","0"
"55〜59歳","4","2","0","0","2","0","4","1","0"
"60〜64歳","2","0","0","0","0","0","6","3","0"
"65〜69歳","0","1","0","0","0","0","11","2","2"
"70歳以上","0","1","0","0","1","0","42","5","3"
"合計","225","90","37","108","50","3","91","59","6"
