"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","9","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","2","0","2","0","","","","","",""
"中央区","3","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"みなと","16","5","0","9","24","2","0","1","1","1","0","1","0","0","0","0","0","0","0","0","0","1","","","","","",""
"新宿区","17","0","0","12","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","","","","","",""
"文京","7","0","0","2","6","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"台東","3","0","0","9","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","6","1","3","12","7","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"江東区","19","1","0","12","40","3","1","2","2","0","0","6","1","0","0","0","0","0","0","0","0","0","","","","","",""
"品川区","12","1","0","2","22","2","0","0","2","0","1","1","0","0","0","1","0","0","0","0","0","0","","","","","",""
"目黒区","6","0","1","12","15","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"大田区","24","3","3","21","57","4","0","0","3","0","0","3","1","0","0","0","0","0","0","0","0","0","","","","","",""
"世田谷","54","2","1","38","52","1","0","2","5","0","0","2","0","0","0","1","0","0","0","0","0","2","","","","","",""
"渋谷区","14","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"中野区","23","0","0","13","35","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"杉並","18","0","0","14","23","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"池袋","9","0","0","2","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北区","6","0","1","7","13","0","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"荒川区","34","1","0","14","8","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","","","","","",""
"板橋区","18","0","0","4","22","2","1","1","3","0","0","1","1","0","0","0","0","0","0","0","0","0","","","","","",""
"練馬区","32","0","0","17","41","0","0","0","5","0","0","1","0","1","0","1","0","0","0","0","0","0","","","","","",""
"足立","40","2","0","30","42","0","0","0","6","0","0","4","0","0","0","0","0","0","0","0","0","0","","","","","",""
"葛飾区","15","0","0","12","39","4","0","4","2","0","0","3","0","0","0","1","0","0","1","0","3","0","","","","","",""
"江戸川","25","0","2","25","36","1","0","0","3","0","0","5","0","0","0","0","0","0","0","0","0","0","","","","","",""
"八王子市","66","0","0","22","55","1","1","4","4","0","0","6","0","0","0","0","0","0","1","0","0","1","","","","","",""
"町田市","24","0","1","16","50","2","0","0","4","0","0","3","0","0","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","23","0","2","5","17","1","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","26","1","0","17","25","5","0","0","1","0","0","1","0","0","0","2","0","0","0","0","0","0","","","","","",""
"多摩立川","29","0","0","23","26","3","0","2","2","0","0","4","1","0","0","0","0","0","0","0","1","0","","","","","",""
"多摩府中","80","1","2","15","53","3","1","3","7","0","0","6","4","0","0","1","0","1","1","0","2","0","","","","","",""
"多摩小平","68","0","7","43","39","2","0","3","4","0","0","6","0","0","0","0","0","0","0","0","0","0","","","","","",""
"島しょ","6","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","732","18","23","411","807","37","6","26","62","1","1","58","8","1","0","9","0","1","5","0","9","4","","","","","",""
