"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","11","1","0"
"1〜4歳","0","0","0","0","0","0","8","11","0"
"5〜9歳","0","0","0","0","0","0","0","1","0"
"10〜14歳","0","0","0","0","0","0","0","0","0"
"15〜19歳","28","6","4","11","3","0","0","0","0"
"20〜24歳","66","15","17","26","12","2","1","0","0"
"25〜29歳","57","19","10","29","6","1","1","0","2"
"30〜34歳","31","24","5","13","7","0","1","0","0"
"35〜39歳","38","11","6","16","2","3","1","0","0"
"40〜44歳","13","6","2","7","6","0","3","0","0"
"45〜49歳","7","4","3","3","5","0","3","1","0"
"50〜54歳","3","4","0","3","1","2","7","1","0"
"55〜59歳","1","3","0","1","0","0","4","0","0"
"60〜64歳","0","1","0","2","0","0","4","2","1"
"65〜69歳","0","1","0","0","0","0","15","2","0"
"70歳以上","0","0","0","0","1","0","54","3","4"
"合計","244","94","47","111","43","8","113","22","7"
