"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","2","0","0","0","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"中央区","13","0","0","5","8","0","0","0","2","0","0","4","0","0","0","0","0","0","0","0","0","","","","","",""
"みなと","32","2","1","0","37","3","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"新宿区","9","0","0","2","27","0","1","0","0","1","0","0","0","0","0","0","0","0","1","0","0","","","","","",""
"文京","9","0","0","1","5","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"台東","13","0","1","2","42","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","16","1","0","7","20","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","","","","","",""
"江東区","22","1","0","11","60","6","0","0","2","0","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"品川区","13","0","0","6","46","3","0","0","3","0","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"目黒区","5","0","0","1","21","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"大田区","32","0","4","22","120","6","0","0","4","1","2","2","0","0","0","0","0","0","0","0","0","","","","","",""
"世田谷","43","0","1","9","101","3","0","2","8","0","0","0","1","0","0","0","0","0","0","0","1","","","","","",""
"渋谷区","7","0","0","0","27","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","","",""
"中野区","16","0","0","4","19","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"杉並","33","1","0","8","34","6","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"池袋","6","0","0","1","11","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","","","","","",""
"北区","9","0","0","0","32","4","0","0","3","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"荒川区","28","0","0","6","37","0","0","0","3","0","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"板橋区","23","0","0","1","19","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","","",""
"練馬区","35","2","0","17","67","5","0","0","7","0","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"足立","22","0","0","16","68","3","0","1","6","0","0","2","0","0","0","2","0","0","0","0","0","","","","","",""
"葛飾区","42","0","2","6","39","6","0","0","1","0","0","0","0","0","0","2","0","0","5","0","1","","","","","",""
"江戸川","22","0","1","6","60","4","0","0","2","1","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"八王子市","50","2","0","23","86","10","0","2","3","0","1","3","0","0","0","0","0","0","0","0","0","","","","","",""
"町田市","15","2","0","15","78","5","0","2","4","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","29","0","1","5","24","3","0","3","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","19","0","0","8","52","8","1","1","1","0","0","1","0","1","0","0","0","0","0","0","0","","","","","",""
"多摩立川","45","3","0","14","66","3","0","0","1","0","0","2","1","0","0","0","0","0","0","0","1","","","","","",""
"多摩府中","80","1","0","19","114","6","1","2","10","0","0","0","0","0","0","0","0","0","2","0","1","","","","","",""
"多摩小平","46","3","3","25","112","7","0","2","7","0","0","1","0","0","0","1","0","0","0","0","1","","","","","",""
"島しょ","8","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","744","18","14","241","1434","96","5","16","81","3","3","20","7","1","1","5","0","1","8","0","8","","","","","",""
