"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","0","3","0","0"
"1〜4歳","0","0","0","0","0","0","2","7","2","0"
"5〜9歳","0","0","0","0","0","0","1","1","0","0"
"10〜14歳","0","0","0","0","0","0","0","0","0","0"
"15〜19歳","5","0","1","1","0","0","1","0","0","0"
"20〜24歳","13","1","2","8","0","1","0","0","0","0"
"25〜29歳","23","14","7","10","0","1","0","1","0","0"
"30〜34歳","24","10","11","10","0","1","1","2","0","0"
"35〜39歳","21","12","9","13","0","4","1","0","0","0"
"40〜44歳","16","10","5","9","0","0","0","0","0","0"
"45〜49歳","14","11","6","9","1","1","3","0","0","0"
"50〜54歳","4","4","2","3","0","0","1","0","0","0"
"55〜59歳","0","3","0","0","0","0","2","0","0","0"
"60〜64歳","2","1","2","0","0","1","2","3","1","0"
"65〜69歳","0","1","3","1","0","0","4","1","0","0"
"70歳以上","0","3","0","0","0","0","20","16","1","0"
"合計","122","70","48","64","1","9","38","34","4","0"
