"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","43","0","0","0","5","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","1","","","","","",""
"中央区","56","0","1","3","11","0","0","1","2","0","0","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"みなと","120","0","2","8","8","1","0","0","1","0","0","1","0","0","0","0","0","0","0","1","0","5","","","","","",""
"新宿区","141","1","0","8","28","2","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","2","","","","","",""
"文京","66","0","0","1","5","0","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","2","","","","","",""
"台東","67","0","3","3","5","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","124","0","1","2","14","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","","",""
"江東区","232","0","0","9","30","1","0","0","0","0","0","3","0","0","0","1","0","0","0","0","0","0","","","","","",""
"品川区","128","0","3","3","13","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","89","0","0","4","20","2","2","2","1","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"大田区","257","1","1","24","49","2","1","0","5","0","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"世田谷","407","2","0","15","42","2","0","3","8","0","0","3","2","0","0","0","0","0","0","0","0","6","","","","","",""
"渋谷区","52","0","0","1","8","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","2","","","","","",""
"中野区","151","0","0","2","24","0","0","0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"杉並","238","0","0","3","39","1","0","0","2","0","0","1","0","0","0","1","0","0","2","0","0","2","","","","","",""
"池袋","97","2","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","1","0","","","","","",""
"北区","164","0","0","4","9","1","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"荒川区","130","0","3","4","8","0","0","0","2","0","0","1","0","1","0","0","0","0","0","0","0","0","","","","","",""
"板橋区","228","0","2","5","13","0","1","0","3","0","0","1","1","0","0","0","0","0","0","0","0","1","","","","","",""
"練馬区","326","1","2","30","46","2","0","0","1","0","0","6","0","0","0","0","0","0","0","0","0","0","","","","","",""
"足立","325","5","1","15","36","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"葛飾区","238","0","0","3","11","0","0","1","2","0","0","1","0","0","0","0","0","0","0","0","0","6","","","","","",""
"江戸川","357","0","0","22","65","0","0","1","3","0","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"八王子市","425","0","0","18","50","5","0","0","1","0","0","6","0","0","0","0","0","0","0","0","0","3","","","","","",""
"町田市","354","0","0","13","42","3","0","0","3","0","0","7","0","0","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","257","0","2","7","21","2","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","1","","","","","",""
"南多摩","293","2","2","6","21","3","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩立川","437","0","1","20","41","3","0","0","4","0","0","3","0","0","0","0","0","0","0","0","0","2","","","","","",""
"多摩府中","814","1","1","15","59","4","1","4","10","0","0","3","0","0","0","0","1","0","0","1","0","12","","","","","",""
"多摩小平","576","1","2","32","34","2","1","0","6","0","0","3","0","0","0","0","0","0","1","1","0","3","","","","","",""
"島しょ","52","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","7244","16","27","280","761","38","6","14","68","0","1","48","4","1","0","5","1","0","5","5","2","49","","","","","",""
