"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","6","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"中央区","9","0","0","0","5","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"みなと","14","0","0","9","33","3","0","0","1","0","0","0","1","1","0","0","0","0","0","0","","","","","",""
"新宿区","27","0","3","1","26","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"文京","13","0","0","0","14","1","0","0","1","0","0","3","0","0","0","1","0","0","0","0","","","","","",""
"台東","10","1","0","0","11","0","1","0","2","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","20","1","0","3","9","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"江東区","56","0","0","2","45","2","0","0","4","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"品川区","30","1","0","0","46","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","5","0","0","1","6","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"大田区","83","0","0","5","60","3","0","1","3","0","0","2","0","0","0","0","0","0","0","0","","","","","",""
"世田谷","59","0","1","5","34","0","0","1","0","0","0","4","1","0","0","0","0","0","0","0","","","","","",""
"渋谷区","30","0","0","2","19","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","","","","","",""
"中野区","61","0","0","5","33","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"杉並","51","0","1","6","28","1","1","0","2","0","0","0","0","0","1","3","0","0","0","0","","","","","",""
"池袋","27","0","0","1","7","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","","","","","",""
"北区","39","0","1","0","19","0","0","0","4","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"荒川区","18","0","0","0","10","4","0","0","0","0","0","1","1","0","0","0","0","0","0","0","","","","","",""
"板橋区","29","0","0","1","20","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"練馬区","63","0","0","2","14","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","","","","","",""
"足立","47","0","0","3","30","4","0","1","0","0","0","0","0","0","1","0","0","0","0","0","","","","","",""
"葛飾区","54","0","0","2","24","11","0","0","4","0","0","0","0","0","0","0","0","0","2","0","","","","","",""
"江戸川","68","1","1","21","37","8","0","0","4","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"八王子市","95","0","1","14","30","6","1","6","2","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"町田市","51","0","0","20","56","3","0","4","4","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","134","0","0","3","13","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","89","0","0","1","15","5","0","1","1","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩立川","84","0","1","1","23","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","","","","","",""
"多摩府中","152","1","0","3","28","1","1","1","4","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩小平","128","1","1","15","48","4","0","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"島しょ","3","0","0","1","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","1555","6","10","127","755","78","5","15","41","1","1","20","4","1","2","5","0","0","2","0","","","","","",""
