"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"〜5ヶ月","0","15","0","0","9","0","3","0","1","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","0","35","0","1","32","6","20","0","34","0","4","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","0","58","4","2","55","11","57","1","41","0","9","1","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2歳","0","21","8","10","40","10","29","0","5","0","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3歳","2","12","6","13","45","17","19","1","2","0","7","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4歳","2","6","7","31","31","13","10","0","0","0","5","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5歳","0","1","6","15","26","14","16","4","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6歳","0","0","2","21","17","8","8","4","0","0","2","4","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"7歳","0","0","1","15","10","7","2","1","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8歳","0","1","2","9","14","3","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9歳","0","0","2","5","16","1","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","0","0","2","6","39","2","7","0","0","0","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"15〜19歳","0","0","2","2","9","0","3","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","1","0","2","9","55","0","8","3","0","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0"
"30〜39歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40〜49歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","6","149","44","139","398","92","184","15","83","0","34","19","12","1","0","2","0","0","4","0","0","0","0","0","0","0","0","0"
