"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","235","1","0","10","37","9","0","1","4","0","0","1","0","1","0","1","0","0","0","0","0","2","","","","","",""
"区南部","337","4","1","14","62","10","0","4","7","0","1","0","1","0","0","1","0","0","0","0","0","0","","","","","",""
"区西南部","325","5","1","12","49","5","0","6","3","0","1","2","2","0","0","1","0","1","0","0","2","5","","","","","",""
"区西部","272","1","3","16","51","1","2","1","7","0","0","0","0","0","0","1","0","0","0","0","0","3","","","","","",""
"区西北部","484","0","2","23","77","8","0","1","5","0","0","1","0","0","0","1","0","0","2","0","1","3","","","","","",""
"区東北部","434","3","2","13","58","11","1","3","5","0","0","1","1","2","0","1","0","0","1","1","0","2","","","","","",""
"区東部","434","5","2","57","79","16","2","2","6","1","0","5","1","0","0","2","0","0","0","0","0","2","","","","","",""
"西多摩","154","1","4","4","19","3","0","1","1","0","0","1","0","0","0","0","0","0","1","0","1","1","","","","","",""
"南多摩","909","1","2","68","93","19","1","4","9","1","0","2","4","0","0","1","0","0","0","0","0","2","","","","","",""
"北多摩西部","294","1","3","27","15","6","0","1","3","0","0","2","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩南部","478","0","1","14","43","11","0","0","8","0","0","2","1","0","0","1","1","0","0","0","0","3","","","","","",""
"北多摩北部","287","1","1","13","36","3","1","2","6","0","0","0","1","1","0","0","1","0","0","0","0","1","","","","","",""
"島しょ","34","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","4677","23","22","271","619","103","8","26","64","2","2","17","11","4","0","10","2","1","4","1","4","24","","","","","",""
