"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症","STD定点","基幹定点"
"区中央部","6","5","7","1","1","0","1","0","0","0","",""
"区南部","9","2","0","0","0","0","1","0","0","0","",""
"区西南部","10","5","4","0","1","0","0","0","0","0","",""
"区西部","11","3","9","5","0","1","13","1","0","0","",""
"区西北部","9","8","3","3","1","0","4","2","0","0","",""
"区東北部","4","0","0","0","0","0","0","4","0","0","",""
"区東部","6","1","0","2","1","0","2","0","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","0","",""
"南多摩","6","3","2","1","0","0","0","0","1","0","",""
"北多摩西部","21","2","1","4","1","0","0","0","0","0","",""
"北多摩南部","0","0","0","0","0","0","21","9","0","0","",""
"北多摩北部","0","0","0","0","0","0","0","3","0","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","0","",""
"合計","82","29","26","16","5","1","42","19","1","0","",""
