"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","8","5","0"
"1〜4歳","0","0","0","0","0","0","5","15","0"
"5〜9歳","0","0","0","0","0","0","2","2","0"
"10〜14歳","0","0","0","0","0","0","0","0","0"
"15〜19歳","3","0","0","1","0","0","0","0","0"
"20〜24歳","22","3","4","15","0","0","1","1","0"
"25〜29歳","23","3","7","24","0","0","0","0","0"
"30〜34歳","19","5","3","9","1","1","5","0","0"
"35〜39歳","13","2","2","15","0","1","0","2","0"
"40〜44歳","8","1","1","3","0","1","9","0","1"
"45〜49歳","4","3","3","5","0","0","2","0","0"
"50〜54歳","5","2","2","0","0","0","4","0","0"
"55〜59歳","3","4","1","4","0","0","7","1","1"
"60〜64歳","1","1","0","1","0","0","11","1","0"
"65〜69歳","0","2","1","0","0","0","14","3","1"
"70歳以上","0","1","0","1","0","0","47","9","2"
"合計","101","27","24","78","1","3","115","39","5"
