"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","9","7","1"
"1〜4歳","0","0","0","0","0","0","6","27","0"
"5〜9歳","0","0","0","0","0","0","3","2","0"
"10〜14歳","0","0","0","0","0","0","0","1","0"
"15〜19歳","12","0","0","3","0","0","0","0","1"
"20〜24歳","42","8","12","16","3","0","0","0","0"
"25〜29歳","42","11","19","14","2","1","0","0","0"
"30〜34歳","38","12","13","10","0","1","4","2","0"
"35〜39歳","20","14","11","10","2","1","3","0","0"
"40〜44歳","17","8","8","8","0","1","1","1","0"
"45〜49歳","8","7","3","3","3","1","6","0","0"
"50〜54歳","3","5","5","2","0","0","2","2","0"
"55〜59歳","5","2","0","1","1","1","7","0","0"
"60〜64歳","2","2","1","0","1","0","4","3","0"
"65〜69歳","1","1","2","0","0","1","9","1","0"
"70歳以上","0","1","0","1","0","1","65","6","0"
"合計","190","71","74","68","12","8","119","52","2"
