"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","3","3","0","0"
"1〜4歳","0","0","0","0","0","0","3","12","0","0"
"5〜9歳","0","0","0","0","0","0","0","1","0","0"
"10〜14歳","0","0","0","0","0","0","0","1","0","0"
"15〜19歳","6","0","1","1","0","0","0","0","0","0"
"20〜24歳","13","1","4","16","1","1","1","0","1","0"
"25〜29歳","28","9","11","19","0","3","1","0","0","0"
"30〜34歳","25","12","6","21","0","3","1","1","0","0"
"35〜39歳","18","13","6","19","0","3","1","0","0","0"
"40〜44歳","19","11","5","12","0","4","4","0","0","0"
"45〜49歳","7","6","4","6","0","0","2","0","0","0"
"50〜54歳","8","6","1","3","0","1","0","0","0","0"
"55〜59歳","1","5","1","3","0","0","2","0","0","0"
"60〜64歳","1","2","0","0","0","0","3","1","0","0"
"65〜69歳","1","4","1","2","0","0","10","0","0","0"
"70歳以上","0","1","1","0","0","0","22","8","0","0"
"合計","127","70","41","102","1","15","53","27","1","0"
