"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)"
"〜5ヶ月","3","3","0","0","7","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"〜1歳","10","3","0","1","49","4","0","0","17","0","0","1","0","0","0","0","0","0","0","0"
"1歳","32","2","4","1","126","12","3","1","15","0","1","1","0","0","0","0","0","0","0","0"
"2歳","38","0","2","2","108","7","0","0","1","0","0","0","1","0","0","0","0","0","0","0"
"3歳","34","0","5","17","74","14","0","2","1","0","0","5","2","0","0","0","0","0","0","0"
"4歳","53","0","0","24","85","9","1","3","1","0","0","0","0","0","0","0","0","0","0","0"
"5歳","60","0","0","32","61","11","0","3","0","0","0","7","0","0","0","0","0","0","0","0"
"6歳","61","0","0","19","42","5","1","0","0","0","0","1","1","0","0","0","0","0","0","0"
"7歳","55","0","0","17","53","5","0","1","0","0","0","1","0","0","0","0","0","0","0","0"
"8歳","44","0","1","20","52","2","1","0","0","0","0","2","0","0","0","0","0","0","0","0"
"9歳","30","0","2","9","46","0","0","0","0","1","0","3","0","0","0","0","0","0","1","0"
"10〜14歳","89","0","0","11","73","2","1","0","0","0","0","2","0","0","1","0","0","0","0","0"
"15〜19歳","29","0","0","0","20","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"20〜29歳","67","0","1","14","188","3","0","0","0","1","0","0","1","0","0","3","0","0","0","0"
"30〜39歳","95","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0"
"40〜49歳","43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0"
"60〜69歳","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","775","8","15","167","984","76","7","10","35","2","1","23","6","0","1","10","0","0","1","0"
