"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","急性脳炎(日本脳炎を除く)","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん"
"〜5ヶ月","0","0","0","0","3","1","0","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"〜1歳","2","0","0","0","16","3","0","0","15","0","0","1","2","0","1","0","0","0","0","0","0","0","0","0"
"1歳","17","0","0","1","45","19","0","0","4","0","0","0","2","3","1","0","0","0","0","0","0","0","0","0"
"2歳","27","0","1","0","43","10","1","3","1","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0"
"3歳","24","0","0","7","28","8","0","1","0","0","0","0","0","4","1","0","1","0","0","0","0","0","0","0"
"4歳","28","0","0","1","45","14","0","5","0","0","0","1","0","5","0","0","0","0","0","0","0","0","0","0"
"5歳","28","0","0","9","45","23","0","9","0","0","1","0","0","15","1","0","0","0","0","0","0","0","0","0"
"6歳","24","0","0","2","34","8","0","6","0","0","0","2","1","8","0","0","0","0","0","0","0","0","0","0"
"7歳","39","0","1","2","30","0","0","2","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0"
"8歳","12","0","0","4","29","1","0","3","0","0","1","0","0","5","0","0","0","0","0","0","0","0","0","0"
"9歳","23","0","0","3","22","1","0","2","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","45","0","0","1","41","3","0","0","0","0","0","0","3","4","0","0","0","0","0","0","0","0","0","0"
"15〜19歳","14","0","0","0","12","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","41","0","0","3","89","0","0","0","0","0","0","1","1","2","0","0","0","0","0","0","0","0","0","0"
"30〜39歳","58","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0"
"40〜49歳","26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"50〜59歳","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"70〜79歳","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"80歳以上","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","429","0","2","33","482","91","1","31","22","0","2","6","11","57","6","0","1","8","0","0","0","0","0","0"
