"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","2","63","16","0","1","8","0","2","0","0","3","0","0","0","0","0","0","1","0","0","0","0","4","3","0","2","2","0"
"中央区","14","45","3","0","1","5","0","3","0","0","5","0","0","0","0","0","0","0","0","0","0","0","5","3","1","0","0","0"
"みなと","9","77","7","8","5","8","4","5","0","1","11","0","0","0","0","0","0","0","0","0","0","0","9","6","0","1","1","0"
"新宿区","14","123","6","16","8","16","0","2","0","0","5","0","0","0","0","5","0","0","1","0","0","0","11","7","2","2","2","0"
"文京","7","56","2","3","2","13","1","0","0","3","7","0","0","0","0","2","0","0","0","0","0","0","7","4","1","1","1","0"
"台東","19","52","4","1","7","24","1","8","0","1","9","0","1","0","0","0","0","0","0","0","0","0","7","4","0","0","0","0"
"墨田区","11","223","3","0","5","1","1","3","0","0","8","0","1","0","0","1","0","0","0","0","0","0","8","5","1","1","1","0"
"江東区","30","121","6","5","9","35","0","4","0","3","16","0","0","0","0","0","0","0","0","0","0","0","14","9","1","0","0","0"
"品川区","6","93","5","2","10","26","1","5","0","1","17","0","0","0","0","0","0","0","0","0","0","0","11","7","1","0","0","0"
"目黒区","19","83","8","10","8","25","0","1","0","1","5","0","1","0","0","0","0","0","0","0","0","0","8","5","1","0","0","0"
"大田区","70","206","22","10","15","45","2","6","1","2","23","1","0","0","0","0","0","0","0","0","0","0","19","11","2","1","1","0"
"世田谷","9","300","12","14","23","61","2","7","0","2","22","0","3","0","0","0","2","0","0","0","0","0","24","15","2","2","2","0"
"渋谷区","19","50","3","0","2","8","1","3","0","0","2","0","0","0","0","3","0","0","0","0","0","0","7","4","1","1","1","0"
"中野区","20","142","2","0","9","32","0","7","0","3","8","0","0","0","0","1","0","0","0","0","0","0","10","6","1","0","0","0"
"杉並","6","182","2","6","3","20","0","4","0","2","8","0","0","1","0","0","0","0","0","0","0","0","17","11","1","2","2","0"
"池袋","7","138","1","2","0","3","0","0","0","1","7","1","0","0","0","1","0","0","0","0","0","0","8","5","1","1","1","0"
"北区","41","170","3","2","5","21","1","17","0","2","16","0","0","0","0","0","0","0","0","0","0","0","11","7","1","0","0","0"
"荒川区","6","103","11","1","7","13","0","2","0","4","25","0","1","1","0","0","0","0","0","0","0","0","7","4","1","0","0","0"
"板橋区","22","195","20","1","14","20","0","4","0","1","9","0","1","0","0","0","0","0","0","0","0","0","16","10","2","1","1","0"
"練馬区","18","240","15","5","8","32","0","6","0","8","45","2","2","0","0","0","0","0","0","0","0","0","21","13","2","0","0","0"
"足立","3","236","18","3","5","53","0","3","0","4","26","0","4","0","0","0","0","0","0","0","0","0","20","13","2","0","0","0"
"葛飾区","9","149","0","0","1","36","1","2","0","3","17","0","2","0","0","0","0","0","0","0","0","0","13","8","1","1","1","0"
"江戸川","13","209","5","36","14","40","4","11","0","6","20","0","0","0","0","0","0","0","0","0","0","0","19","12","2","0","0","0"
"八王子市","44","219","9","4","24","94","0","2","1","7","38","2","0","0","0","4","0","0","0","0","0","0","18","11","2","1","1","0"
"町田市","5","135","5","0","15","40","0","5","0","2","10","0","0","0","0","0","0","0","0","0","0","0","13","8","1","0","0","0"
"西多摩","6","105","4","1","4","11","2","2","0","0","16","1","0","0","0","0","0","0","0","0","0","0","14","8","1","1","1","0"
"南多摩","7","120","24","3","3","15","0","7","0","1","18","0","0","0","0","0","0","0","0","0","0","0","14","9","1","0","0","0"
"多摩立川","13","190","5","0","20","45","2","9","0","2","47","0","0","0","0","0","0","0","0","0","0","1","21","14","2","1","1","0"
"多摩府中","29","416","15","2","30","67","5","19","0","5","47","0","4","0","0","0","0","0","0","0","0","0","33","21","3","3","3","0"
"多摩小平","33","256","14","6","44","57","1","11","0","5","16","0","2","0","0","0","0","0","0","0","0","0","22","14","2","2","2","0"
"島しょ","2","70","0","0","0","0","0","0","0","0","22","0","0","0","0","0","0","0","0","0","0","0","2","1","0","1","1","0"
"合計","513","4767","250","141","302","874","29","160","2","70","528","7","22","2","0","17","2","1","1","0","0","1","413","258","39","25","25","0"
