"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","15","6","0"
"1〜4歳","0","0","0","0","0","0","9","10","0"
"5〜9歳","0","0","0","0","0","0","3","2","0"
"10〜14歳","0","0","0","0","0","0","2","0","0"
"15〜19歳","8","0","3","6","0","0","1","0","0"
"20〜24歳","50","5","11","20","2","0","0","0","0"
"25〜29歳","55","14","17","27","0","1","0","0","0"
"30〜34歳","38","17","19","14","1","2","1","1","0"
"35〜39歳","20","5","11","11","2","0","3","0","0"
"40〜44歳","27","6","4","6","3","3","6","1","0"
"45〜49歳","9","4","2","3","0","2","2","0","0"
"50〜54歳","3","5","4","1","1","0","5","0","0"
"55〜59歳","1","1","1","1","1","1","10","1","0"
"60〜64歳","0","0","1","1","0","1","9","0","0"
"65〜69歳","0","1","1","0","0","0","13","0","0"
"70歳以上","0","2","1","0","1","0","58","4","3"
"合計","211","60","75","90","11","10","137","25","3"
