"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)"
"〜5ヶ月","0","1","0","0","13","3","0","0","4","0","1","0","2","1","0","0","0","0","0","0"
"〜1歳","0","2","4","1","39","6","10","0","46","1","2","2","1","1","0","0","0","0","0","0"
"1歳","0","4","13","15","81","16","20","6","46","0","13","8","5","2","0","1","1","0","2","0"
"2歳","2","2","5","11","60","18","10","4","8","0","8","7","2","0","0","0","0","0","0","0"
"3歳","1","2","5","14","54","25","19","7","1","0","7","16","2","0","0","0","0","0","0","0"
"4歳","0","2","4","24","53","25","13","11","0","0","9","12","0","0","0","0","0","0","3","0"
"5歳","0","1","2","27","45","14","10","11","0","0","4","25","1","0","0","2","0","0","1","0"
"6歳","0","0","6","26","32","12","9","10","0","0","3","16","0","0","0","0","0","0","1","0"
"7歳","2","2","1","22","27","9","5","10","0","0","2","8","0","0","0","0","0","0","0","0"
"8歳","0","0","1","21","26","4","2","5","0","1","0","11","1","0","0","0","0","0","0","0"
"9歳","0","0","0","12","16","1","1","1","0","0","1","4","0","0","0","0","0","0","1","0"
"10〜14歳","3","1","1","14","53","3","0","2","0","1","0","12","1","0","0","2","0","0","1","0"
"15〜19歳","3","0","0","2","17","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0"
"20〜29歳","5","0","2","14","74","0","0","3","0","0","1","4","2","0","0","3","0","0","0","0"
"30〜39歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0"
"40〜49歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","0","0","0","0"
"50〜59歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"60〜69歳","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"70〜79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","1"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","20","17","44","203","590","136","99","70","105","3","51","127","17","4","3","22","1","0","9","1"
