"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","56","110","13","7","21","41","1","4","0","3","25","7","1","0","0","2","0","0","0","0","0","1","","","","","",""
"区南部","53","88","32","4","15","43","1","2","3","4","57","1","2","0","0","2","0","0","0","0","0","0","","","","","",""
"区西南部","24","125","13","1","19","61","2","4","0","6","53","1","1","0","0","1","0","0","0","0","0","0","","","","","",""
"区西部","12","127","12","5","25","63","2","1","0","4","17","3","0","0","0","2","0","0","1","0","0","0","","","","","",""
"区西北部","36","200","26","7","27","78","2","10","2","3","42","1","2","0","0","3","0","0","0","0","0","0","","","","","",""
"区東北部","17","116","20","7","9","102","1","14","0","4","34","1","0","0","0","1","0","0","0","0","0","0","","","","","",""
"区東部","38","172","40","4","17","65","0","8","1","6","47","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","13","22","0","1","5","7","1","2","0","2","11","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","28","90","21","6","24","150","3","19","2","5","53","4","1","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩西部","7","33","14","0","17","27","0","8","0","1","16","1","0","0","0","1","0","0","0","0","0","0","","","","","",""
"北多摩南部","27","85","18","6","18","50","2","5","0","3","32","2","2","0","0","0","0","1","0","0","0","1","","","","","",""
"北多摩北部","18","79","14","6","23","74","2","5","1","2","72","1","0","0","0","0","0","0","0","0","0","1","","","","","",""
"島しょ","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","329","1260","223","54","220","761","17","82","9","43","459","22","10","0","0","12","0","1","1","0","0","3","","","","","",""
