"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)"
"〜5ヶ月","1","0","1","0","1","1","1","0","2","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","3","2","1","3","16","0","12","0","35","0","8","0","3","0","0","0","0","0","0","0"
"1歳","12","6","3","2","28","4","34","0","24","0","45","4","3","0","0","1","0","0","0","0"
"2歳","8","1","1","0","25","7","14","1","1","0","15","7","5","0","0","0","0","0","1","0"
"3歳","17","1","1","0","19","5","7","3","1","0","10","4","1","0","0","0","0","0","0","0"
"4歳","19","0","1","4","9","3","15","3","0","0","6","9","2","0","0","0","0","0","0","0"
"5歳","19","0","1","8","9","3","9","6","0","0","6","10","1","0","0","0","0","0","0","0"
"6歳","28","0","1","3","10","2","3","1","0","0","4","7","0","0","0","0","0","0","0","0"
"7歳","29","0","0","4","10","1","3","1","0","0","2","3","0","0","0","0","0","0","0","0"
"8歳","21","0","0","1","5","0","1","1","0","0","0","3","0","0","0","0","0","0","0","0"
"9歳","33","0","0","1","11","0","2","0","0","0","0","3","0","0","0","0","0","0","0","0"
"10〜14歳","118","0","0","4","22","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0"
"15〜19歳","56","0","0","0","11","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","49","0","0","1","23","0","1","0","0","1","1","1","0","0","0","1","0","0","1","0"
"30〜39歳","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","1","0","0"
"40〜49歳","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"50〜59歳","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"70〜79歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","465","10","10","31","199","26","103","16","63","1","98","52","15","0","0","10","0","1","2","0"
