"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","8","6","0"
"1〜4歳","0","0","0","0","0","0","1","9","0"
"5〜9歳","0","0","0","0","0","0","0","0","0"
"10〜14歳","0","0","0","0","0","0","1","1","0"
"15〜19歳","8","2","3","1","0","0","0","0","1"
"20〜24歳","25","6","5","18","0","0","0","0","0"
"25〜29歳","29","5","3","22","1","1","0","0","0"
"30〜34歳","16","12","4","20","0","1","1","4","0"
"35〜39歳","19","7","3","12","0","0","1","0","0"
"40〜44歳","10","1","2","6","0","0","2","0","0"
"45〜49歳","2","0","1","6","0","0","1","0","0"
"50〜54歳","4","3","1","5","0","1","1","1","0"
"55〜59歳","4","0","0","0","0","0","3","1","0"
"60〜64歳","2","0","0","0","0","0","4","2","0"
"65〜69歳","0","1","0","0","0","0","6","1","2"
"70歳以上","0","0","0","0","0","0","31","4","2"
"合計","119","37","22","90","1","3","60","29","5"
