"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","12","3","0","0"
"1〜4歳","0","0","0","0","0","0","1","10","0","0"
"5〜9歳","0","0","0","0","0","0","1","1","0","0"
"10〜14歳","0","0","0","0","0","0","0","0","0","0"
"15〜19歳","1","0","0","2","0","0","1","0","0","0"
"20〜24歳","11","4","5","13","0","0","0","0","0","0"
"25〜29歳","22","4","6","10","0","1","0","1","0","0"
"30〜34歳","23","10","12","17","0","3","0","0","0","0"
"35〜39歳","21","8","11","13","0","3","1","0","0","0"
"40〜44歳","14","16","7","9","0","1","2","0","0","0"
"45〜49歳","7","6","8","7","0","0","1","0","0","0"
"50〜54歳","5","13","3","1","0","1","3","0","0","0"
"55〜59歳","3","1","5","1","0","0","2","0","0","0"
"60〜64歳","3","2","4","0","0","0","4","2","0","0"
"65〜69歳","0","4","0","0","0","0","4","0","0","0"
"70歳以上","0","4","0","0","0","0","14","9","0","0"
"合計","110","72","61","73","0","9","46","26","0","0"
