"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","急性脳炎(日本脳炎を除く)","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","118","0","5","5","35","15","1","1","1","0","0","0","0","1","0","1","1","2","0","1","0","0","0","2","","","","","",""
"区南部","76","0","2","1","25","25","0","6","1","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","","","","","",""
"区西南部","60","0","3","2","70","12","0","4","3","0","1","0","2","1","1","0","0","0","0","0","0","0","0","0","","","","","",""
"区西部","110","0","0","2","50","7","0","3","1","0","0","0","2","2","3","0","0","3","0","0","0","1","0","0","","","","","",""
"区西北部","118","0","2","2","34","15","1","3","8","0","0","0","1","3","1","0","0","2","0","0","0","1","0","0","","","","","",""
"区東北部","51","0","1","3","26","12","1","2","1","0","1","0","0","9","0","0","0","0","0","0","0","0","0","0","","","","","",""
"区東部","68","0","0","4","36","8","0","1","3","0","0","0","0","2","0","0","0","1","0","0","0","0","0","0","","","","","",""
"西多摩","30","0","0","1","4","4","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","71","0","0","1","18","18","0","2","0","0","0","1","0","3","0","0","0","2","0","0","0","0","0","0","","","","","",""
"北多摩西部","58","0","0","1","22","5","0","1","1","0","0","0","2","0","0","0","0","2","0","0","0","0","0","0","","","","","",""
"北多摩南部","67","0","0","1","16","7","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩北部","87","0","1","1","35","13","0","1","3","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"島しょ","15","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","929","0","14","24","371","141","3","24","27","0","3","2","7","24","7","1","1","12","0","1","0","2","0","2","","","","","",""
