"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","4","33","0","0","0","2","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"中央区","17","24","0","0","3","8","0","11","0","0","0","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"みなと","25","65","2","4","4","3","0","4","0","5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"新宿区","22","64","0","1","1","8","0","0","0","1","1","0","0","0","0","2","0","0","0","0","0","0","","","","","",""
"文京","28","85","1","1","2","5","0","4","0","0","2","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"台東","9","40","1","0","1","11","1","11","0","0","2","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","33","100","0","0","3","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","","","","","",""
"江東区","61","100","2","11","5","18","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"品川区","24","63","0","4","8","11","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","19","45","0","3","4","6","1","6","0","0","2","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"大田区","61","119","2","7","6","29","0","7","0","4","4","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"世田谷","40","198","3","35","19","18","1","6","0","2","6","1","0","0","0","1","1","0","0","0","0","0","","","","","",""
"渋谷区","13","62","0","1","1","1","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","","","","","",""
"中野区","43","113","0","4","8","19","0","3","0","0","0","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"杉並","58","118","0","1","6","10","3","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"池袋","23","84","0","1","0","3","1","5","0","0","1","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"北区","43","94","0","1","10","10","2","5","0","2","3","0","0","0","1","0","0","0","0","0","0","0","","","","","",""
"荒川区","31","86","0","1","2","12","1","7","0","1","0","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"板橋区","36","128","0","2","4","14","1","3","0","1","2","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"練馬区","42","209","0","5","16","20","0","6","1","3","17","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"足立","19","163","3","1","2","19","1","3","0","3","3","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"葛飾区","34","109","0","4","1","15","0","3","0","0","3","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"江戸川","30","206","1","20","9","22","0","11","0","1","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"八王子市","75","188","1","5","10","42","1","9","0","2","11","0","0","0","0","2","0","0","0","0","0","1","","","","","",""
"町田市","16","91","0","1","1","19","1","3","1","0","1","3","0","0","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","13","81","0","0","1","10","0","4","0","1","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","36","104","0","3","4","7","0","2","0","2","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩立川","57","166","0","2","10","14","0","16","0","1","6","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩府中","104","357","3","9","38","35","1","10","0","5","3","1","5","0","0","0","0","0","0","0","0","1","","","","","",""
"多摩小平","104","226","4","2","21","33","1","9","0","5","9","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"島しょ","1","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","1121","3540","23","129","200","428","16","156","2","41","82","5","5","1","1","14","1","0","0","0","1","2","","","","","",""
