"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","5","3","0"
"1〜4歳","0","0","0","0","0","0","2","0","0"
"5〜9歳","0","0","0","0","0","0","2","0","0"
"10〜14歳","0","0","0","0","0","0","0","0","0"
"15〜19歳","0","0","0","0","0","0","0","0","0"
"20〜24歳","19","2","5","16","0","0","1","0","0"
"25〜29歳","26","4","14","13","0","0","0","0","0"
"30〜34歳","19","3","10","11","0","0","0","0","0"
"35〜39歳","15","6","6","10","0","0","0","0","0"
"40〜44歳","12","3","7","9","0","0","2","0","0"
"45〜49歳","11","4","6","5","0","0","1","1","0"
"50〜54歳","4","3","3","6","0","0","1","2","0"
"55〜59歳","3","1","0","0","0","0","0","0","0"
"60〜64歳","3","1","5","0","0","0","5","0","0"
"65〜69歳","0","0","0","0","0","0","3","0","0"
"70歳以上","1","2","0","0","0","0","27","3","0"
"合計","113","29","56","70","0","0","49","9","0"
