"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん"
"〜5ヶ月","0","1","0","0","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","4","1","2","0","29","5","0","0","24","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"1歳","12","1","9","2","86","9","1","1","19","0","0","0","1","0","0","0","0","2","0","0","0","0","0"
"2歳","15","0","0","3","45","19","0","2","3","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"3歳","22","0","1","11","37","12","0","3","0","0","0","1","0","1","0","0","0","0","0","0","1","0","0"
"4歳","21","0","7","21","27","10","1","4","0","0","0","1","0","3","0","0","0","1","0","0","1","0","0"
"5歳","23","0","3","22","23","10","0","11","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"6歳","21","1","1","12","13","3","0","6","0","0","0","0","1","2","0","0","0","1","0","0","0","0","0"
"7歳","19","0","1","9","20","3","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8歳","12","0","0","8","18","0","0","4","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"9歳","12","0","2","6","8","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","32","0","2","8","19","5","0","4","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0"
"15〜19歳","29","0","0","3","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"20〜29歳","37","1","0","11","68","0","0","3","0","0","0","2","0","1","0","0","0","0","0","0","1","0","4"
"30〜39歳","45","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","2"
"40〜49歳","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"50〜59歳","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"60〜69歳","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"70〜79歳","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","340","5","28","116","405","79","2","47","47","0","0","4","3","11","1","0","0","11","0","0","3","0","7"
