"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)"
"〜5ヶ月","17","2","0","1","9","8","0","0","2","1","0","0","0","0","0","0","0","0","0","0"
"〜1歳","42","4","0","2","48","11","0","1","35","0","0","0","1","1","0","0","0","0","0","0"
"1歳","187","1","4","1","156","31","1","1","36","0","3","3","3","0","0","0","0","0","0","0"
"2歳","208","0","5","7","86","28","0","0","3","0","0","10","1","0","0","0","0","0","0","0"
"3歳","224","0","2","22","69","27","1","0","0","0","0","5","0","0","0","0","0","0","0","0"
"4歳","308","0","2","35","61","26","0","5","0","0","0","8","0","0","0","2","0","0","0","0"
"5歳","290","0","1","29","69","13","1","3","0","0","0","8","1","0","0","0","0","0","0","0"
"6歳","295","0","1","40","59","5","0","2","0","0","0","8","0","0","0","0","0","0","0","0"
"7歳","221","0","0","32","48","3","0","3","0","0","0","10","1","0","0","1","0","0","0","0"
"8歳","216","1","0","22","38","4","0","5","0","0","0","6","0","0","0","0","0","0","0","0"
"9歳","193","0","0","16","30","3","0","3","1","0","1","0","0","0","0","0","0","0","0","0"
"10〜14歳","632","0","1","19","118","2","0","1","0","2","0","2","0","0","0","1","0","0","1","0"
"15〜19歳","263","0","0","2","31","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","489","0","3","14","158","1","0","4","0","3","0","1","0","0","0","2","0","1","0","0"
"30〜39歳","543","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0"
"40〜49歳","382","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"50〜59歳","123","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","57","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"70〜79歳","38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0"
"80歳以上","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","4736","8","19","242","980","162","4","28","77","6","4","61","7","1","0","14","0","1","1","0"
