"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","8","5","0"
"1〜4歳","0","0","0","0","0","0","19","14","0"
"5〜9歳","0","0","0","0","0","0","5","4","0"
"10〜14歳","0","0","0","0","0","0","0","1","0"
"15〜19歳","17","1","2","2","1","0","1","0","0"
"20〜24歳","42","5","8","12","5","0","0","0","0"
"25〜29歳","23","17","7","22","8","0","3","0","0"
"30〜34歳","33","15","4","14","2","0","1","1","0"
"35〜39歳","17","11","8","12","4","0","3","0","0"
"40〜44歳","16","8","3","8","2","0","2","0","0"
"45〜49歳","3","2","0","4","1","1","4","0","0"
"50〜54歳","5","5","0","4","0","0","8","0","0"
"55〜59歳","4","4","2","0","2","0","10","1","0"
"60〜64歳","1","0","0","1","1","1","13","5","0"
"65〜69歳","0","0","1","0","0","0","10","0","0"
"70歳以上","0","1","0","0","0","0","49","2","3"
"合計","161","69","35","79","26","2","136","33","3"
