"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","8","5","0","1","1","13","0","6","3","1","0","0","0","0","0","0","0","2","5","0","0","0","4","4","3","0","2","2","2"
"中央区","4","3","0","0","0","12","0","1","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","5","3","1","0","0","0"
"みなと","24","9","0","0","6","11","0","7","5","2","3","0","0","0","0","0","0","0","0","0","0","2","5","9","6","0","1","1","1"
"新宿区","14","11","5","1","16","25","1","8","7","1","0","0","0","0","0","1","0","0","7","0","0","0","2","12","8","2","2","2","2"
"文京","6","11","0","0","13","9","3","26","6","0","0","1","0","0","0","0","0","0","2","0","0","0","0","7","4","1","1","1","1"
"台東","17","4","2","2","3","39","0","19","7","3","0","0","0","0","0","0","0","0","0","0","0","0","0","7","4","0","0","0","0"
"墨田区","10","6","0","0","12","4","0","10","4","1","0","0","0","0","0","0","0","0","14","0","0","0","0","8","5","1","1","1","1"
"江東区","66","5","4","1","25","29","1","26","24","3","2","1","0","0","0","2","0","0","0","0","0","0","0","14","9","1","0","0","0"
"品川区","23","8","1","1","6","25","1","18","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","12","8","1","0","0","0"
"目黒区","15","1","3","0","9","6","1","11","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","5","1","0","0","0"
"大田区","24","23","2","9","16","63","0","36","17","2","1","0","0","0","0","0","0","0","3","0","0","0","0","21","13","2","1","1","1"
"世田谷","66","23","3","2","26","36","2","40","15","3","0","0","1","0","0","0","0","0","8","0","0","1","5","25","16","2","2","2","2"
"渋谷区","15","7","0","0","2","11","1","3","1","2","0","0","0","0","0","0","0","0","0","0","0","2","3","7","4","1","1","1","1"
"中野区","32","11","0","1","22","25","6","15","15","3","0","0","0","0","0","0","0","0","0","0","0","0","0","10","6","1","0","0","0"
"杉並","30","16","1","6","8","21","2","26","32","0","0","0","1","3","0","0","0","0","19","0","0","3","13","17","11","1","2","2","2"
"池袋","20","13","7","0","4","9","2","17","4","3","2","0","0","0","0","2","0","0","12","0","0","0","0","8","5","1","1","1","1"
"北区","45","9","1","0","18","22","3","22","13","3","1","0","0","0","0","0","0","0","0","0","0","0","0","11","7","1","0","0","0"
"荒川区","20","8","4","0","8","21","0","20","20","3","1","0","2","0","0","0","0","0","0","0","0","0","0","7","4","1","0","0","0"
"板橋区","23","9","2","1","18","24","0","14","13","1","0","0","1","0","0","1","0","0","2","0","0","0","2","16","10","2","1","1","1"
"練馬区","88","29","0","3","38","48","10","34","48","4","2","0","2","0","0","0","0","0","0","0","0","0","0","20","13","2","0","0","0"
"足立","45","28","10","5","24","47","2","44","1","5","1","0","0","1","0","1","0","0","0","0","0","0","0","20","13","2","0","0","0"
"葛飾区","45","4","0","0","12","20","2","21","5","2","0","0","0","0","0","0","0","0","10","0","0","2","2","13","8","1","1","1","1"
"江戸川","43","20","1","2","24","40","2","40","20","2","2","0","1","0","0","4","0","0","0","0","0","0","0","19","12","2","0","0","0"
"八王子市","55","27","6","0","30","56","4","72","30","4","0","0","1","0","0","0","0","0","0","0","0","2","4","18","11","2","1","1","1"
"町田市","22","9","1","0","14","47","0","28","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","8","1","0","0","0"
"西多摩","27","22","1","0","7","7","1","13","11","1","0","0","1","0","0","0","0","0","9","0","0","1","0","14","8","1","1","1","1"
"南多摩","34","15","1","0","14","16","0","42","8","5","1","0","0","0","0","0","0","0","0","0","0","0","0","14","9","1","0","0","0"
"多摩立川","40","18","1","0","23","24","2","32","30","2","0","1","1","1","0","0","0","0","0","0","0","0","1","21","14","2","1","1","1"
"多摩府中","71","29","3","5","46","92","4","96","37","4","1","1","1","0","0","1","0","0","7","0","0","3","4","33","21","3","3","3","3"
"多摩小平","68","32","3","3","89","59","5","83","37","5","0","1","1","0","0","0","0","1","9","0","0","0","6","23","15","2","2","2","2"
"島しょ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","1","1","1"
"合計","1000","415","62","43","534","861","55","830","438","69","17","5","13","5","0","13","0","3","107","0","0","16","51","418","264","39","25","25","25"
