"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","13","0","5","21","56","1","1","2","4","0","0","6","0","0","0","0","0","0","1","1","0","0","","","","","",""
"区南部","15","1","6","26","64","1","0","2","9","1","0","5","1","0","0","1","0","0","0","0","0","0","","","","","",""
"区西南部","32","1","8","46","70","1","0","4","7","0","0","7","1","0","0","3","0","0","0","0","2","0","","","","","",""
"区西部","25","1","9","41","65","2","0","3","8","0","1","2","0","0","0","0","0","0","0","0","0","0","","","","","",""
"区西北部","42","2","3","39","78","6","2","0","12","0","0","4","0","0","0","2","0","0","0","0","0","1","","","","","",""
"区東北部","31","3","6","36","75","8","1","4","7","0","0","7","1","0","0","1","0","0","5","0","1","1","","","","","",""
"区東部","26","0","8","40","84","11","0","1","2","0","0","7","0","0","0","1","0","0","0","0","0","0","","","","","",""
"西多摩","6","0","2","5","17","2","0","0","0","0","0","3","0","0","0","1","0","0","0","0","0","0","","","","","",""
"南多摩","53","1","7","51","141","6","0","1","14","0","1","9","0","1","0","0","0","0","1","0","0","0","","","","","",""
"北多摩西部","8","0","1","21","24","5","0","1","4","0","0","4","0","0","0","0","0","0","0","0","1","0","","","","","",""
"北多摩南部","31","0","11","24","41","6","0","3","12","0","0","13","1","0","0","0","0","0","0","0","2","0","","","","","",""
"北多摩北部","14","0","11","44","25","0","0","0","8","0","0","3","1","0","0","2","0","0","0","0","0","0","","","","","",""
"島しょ","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","299","9","77","395","740","49","4","21","87","1","2","70","5","1","0","11","0","0","7","1","6","2","","","","","",""
