"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症","STD定点","基幹定点"
"区中央部","7","8","3","0","0","1","2","1","2","0","",""
"区南部","7","0","0","3","0","0","1","0","0","0","",""
"区西南部","5","7","3","1","1","0","1","5","0","0","",""
"区西部","8","5","14","4","1","0","5","0","0","0","",""
"区西北部","8","5","2","3","1","0","2","3","0","0","",""
"区東北部","6","0","0","1","0","0","4","6","0","0","",""
"区東部","12","2","2","1","1","0","3","1","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","0","",""
"南多摩","13","3","0","3","2","0","1","0","0","0","",""
"北多摩西部","13","1","2","4","0","0","0","0","0","0","",""
"北多摩南部","0","0","1","0","0","0","7","1","1","0","",""
"北多摩北部","1","1","0","0","0","0","1","2","0","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","0","",""
"合計","80","32","27","20","6","1","27","19","3","0","",""
