"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"〜5ヶ月","10","4","0","0","6","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","46","12","2","0","31","6","1","0","14","0","2","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"1歳","190","15","6","4","88","13","4","0","34","0","0","1","2","2","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"2歳","176","3","6","3","76","16","1","1","7","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3歳","225","4","2","22","77","17","0","2","1","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4歳","274","0","4","48","80","18","1","2","0","0","0","5","1","0","0","1","0","0","0","0","2","1","0","2","0","0","0","2"
"5歳","261","0","6","43","87","16","3","1","0","0","0","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6歳","233","0","2","44","64","9","1","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7歳","170","0","1","24","47","4","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8歳","173","0","3","35","47","1","0","0","0","0","0","3","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"9歳","171","0","0","21","35","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","503","0","1","34","118","5","0","3","0","0","0","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"15〜19歳","173","0","1","2","53","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","301","0","1","15","243","0","0","0","0","2","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1","0"
"30〜39歳","538","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","1","0","2","0","0","0","0","0","2","0"
"40〜49歳","462","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"50〜59歳","211","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1","0"
"60〜69歳","141","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","3","0","0","0","0","0","3","0"
"70〜79歳","99","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","6","0","0","0","0","0","6","0"
"80歳以上","46","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","10","1","0","0","0","0","9","0"
"合計","4403","38","35","295","1052","107","11","11","58","2","2","25","9","4","0","7","0","0","4","2","28","2","0","2","0","0","25","2"
