"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","1","2","0","0"
"1〜4歳","0","0","0","0","0","0","4","6","0","0"
"5〜9歳","0","0","0","0","0","0","2","1","0","0"
"10〜14歳","1","0","0","0","0","0","1","1","0","0"
"15〜19歳","10","1","4","6","0","0","1","0","0","0"
"20〜24歳","29","6","11","13","0","2","1","0","0","0"
"25〜29歳","36","13","10","19","3","2","0","0","0","0"
"30〜34歳","36","26","15","18","0","3","1","0","0","0"
"35〜39歳","27","12","17","11","2","2","2","0","0","0"
"40〜44歳","12","15","4","10","2","0","2","0","0","0"
"45〜49歳","11","11","3","3","0","1","0","0","0","0"
"50〜54歳","3","8","1","5","0","0","2","0","1","0"
"55〜59歳","2","4","2","2","0","1","1","1","0","0"
"60〜64歳","2","2","0","0","1","1","3","5","0","0"
"65〜69歳","0","0","1","0","0","1","7","5","0","0"
"70歳以上","0","2","1","0","0","1","37","11","0","0"
"合計","169","100","69","87","8","14","65","32","1","0"
