"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"区中央部","23","11","9","20","0","1","8","0","0","",""
"区南部","4","0","0","4","0","0","1","0","0","",""
"区西南部","7","3","1","2","0","0","1","0","0","",""
"区西部","28","20","25","27","0","4","26","3","1","",""
"区西北部","16","6","10","12","0","1","3","7","0","",""
"区東北部","1","2","1","2","0","0","8","7","0","",""
"区東部","19","14","3","11","0","0","4","3","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","",""
"南多摩","1","0","0","0","0","0","0","0","0","",""
"北多摩西部","0","0","0","0","0","0","0","0","0","",""
"北多摩南部","1","0","0","1","0","0","17","1","0","",""
"北多摩北部","0","0","0","0","0","0","4","8","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","",""
"合計","100","56","49","79","0","6","72","29","1","",""
