"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)"
"〜5ヶ月","0","15","0","0","11","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","0","14","1","1","55","3","1","0","15","0","2","0","1","0","0","0","0","0","0","0"
"1歳","11","21","1","2","153","13","5","1","22","0","2","1","1","1","0","0","1","0","0","0"
"2歳","4","11","3","2","98","13","9","1","2","0","1","4","2","1","0","0","0","0","1","0"
"3歳","3","3","7","10","81","15","5","0","0","0","0","7","2","0","0","0","0","0","0","0"
"4歳","5","3","3","18","86","16","7","2","0","0","1","6","1","0","0","2","0","0","0","0"
"5歳","4","2","1","26","73","9","1","1","0","0","1","8","0","0","0","0","0","0","1","0"
"6歳","4","0","2","20","58","9","1","0","0","0","0","4","0","0","0","0","0","0","1","0"
"7歳","11","0","1","16","48","2","0","1","0","0","0","2","0","0","0","0","0","0","0","0"
"8歳","5","0","1","12","36","2","4","0","0","0","0","4","1","0","0","0","0","0","2","0"
"9歳","3","0","0","11","18","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","13","0","0","23","56","2","1","0","0","1","0","4","0","0","0","0","0","0","1","0"
"15〜19歳","0","0","0","1","11","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"20〜29歳","3","1","0","8","53","2","0","0","0","2","1","0","0","0","0","0","0","0","0","0"
"30〜39歳","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"40〜49歳","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"50〜59歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0"
"60〜69歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"70〜79歳","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","76","70","20","150","837","88","34","6","41","5","8","40","8","2","0","9","1","0","6","0"
