"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","5","2","1"
"1〜4歳","0","0","0","0","0","0","7","5","0"
"5〜9歳","0","0","0","0","0","0","1","2","0"
"10〜14歳","0","0","0","0","0","0","0","0","0"
"15〜19歳","14","2","8","8","0","0","0","0","0"
"20〜24歳","70","30","16","27","10","1","1","0","0"
"25〜29歳","71","19","13","35","3","1","6","0","1"
"30〜34歳","29","19","8","19","4","1","1","2","0"
"35〜39歳","25","10","4","11","4","2","3","0","0"
"40〜44歳","17","11","3","6","2","3","3","0","1"
"45〜49歳","7","6","1","5","2","1","4","0","2"
"50〜54歳","1","5","1","4","0","0","2","0","0"
"55〜59歳","1","1","0","0","2","0","7","1","0"
"60〜64歳","1","2","0","0","2","0","11","2","0"
"65〜69歳","0","1","0","0","0","0","15","2","0"
"70歳以上","0","0","0","0","1","0","52","2","4"
"合計","236","106","54","115","30","9","118","18","9"
