"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"中央区","1","0","1","3","6","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"みなと","6","1","5","15","23","1","2","2","3","0","1","1","0","1","0","0","0","0","0","0","0","","","","","",""
"新宿区","2","0","0","4","31","4","0","0","4","0","0","0","0","0","0","2","0","0","3","0","0","","","","","",""
"文京","1","0","0","2","9","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"台東","1","0","0","5","19","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","21","0","0","4","14","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"江東区","12","0","1","32","91","4","5","1","2","0","0","0","2","0","0","1","0","0","0","0","0","","","","","",""
"品川区","2","1","0","10","31","0","0","0","5","0","0","0","1","0","0","1","0","0","0","0","0","","","","","",""
"目黒区","1","0","1","0","15","1","1","0","0","0","0","0","0","0","0","2","0","0","0","0","0","","","","","",""
"大田区","13","3","6","26","76","2","0","3","6","0","0","1","3","0","0","0","0","0","0","0","0","","","","","",""
"世田谷","14","1","1","23","86","2","1","1","7","0","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"渋谷区","1","0","0","1","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"中野区","5","1","0","4","32","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"杉並","4","0","3","11","43","0","0","0","3","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"池袋","1","1","0","4","15","2","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北区","3","0","1","2","25","3","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"荒川区","7","0","0","17","27","1","0","1","3","0","0","0","0","0","0","1","0","0","0","0","0","","","","","",""
"板橋区","6","0","0","7","19","3","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"練馬区","11","0","0","20","41","12","0","0","4","0","0","0","0","0","0","1","0","0","0","0","0","","","","","",""
"足立","5","1","0","13","65","4","0","2","4","0","0","4","0","0","0","0","0","0","0","0","0","","","","","",""
"葛飾区","1","0","0","7","43","5","1","2","1","0","0","2","0","0","0","0","0","0","3","0","0","","","","","",""
"江戸川","17","1","7","37","36","1","1","1","6","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"八王子市","12","0","4","41","69","9","3","3","0","0","0","2","0","0","0","0","0","0","1","0","0","","","","","",""
"町田市","15","0","1","36","69","8","0","0","3","0","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","5","1","3","6","21","0","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","15","0","1","22","24","3","0","2","0","0","1","2","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩立川","5","3","0","16","38","10","1","0","4","0","0","0","0","1","0","0","0","0","0","0","0","","","","","",""
"多摩府中","14","3","3","30","73","4","1","3","12","0","0","3","1","1","0","0","0","0","0","0","0","","","","","",""
"多摩小平","6","0","10","18","60","4","1","1","12","0","1","0","1","0","0","0","0","1","2","0","0","","","","","",""
"島しょ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","207","17","48","416","1107","88","19","25","91","0","3","20","10","3","0","8","0","1","9","0","0","","","","","",""
