"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)"
"〜5ヶ月","0","2","0","0","6","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"〜1歳","1","6","0","0","56","3","2","0","18","0","0","0","1","0","0","0","0","0","0","0"
"1歳","1","5","5","2","160","9","4","0","22","0","0","1","2","1","0","0","0","0","0","0"
"2歳","2","3","4","7","112","13","4","1","4","0","0","2","1","0","0","0","0","0","0","0"
"3歳","2","0","2","6","110","13","1","4","0","0","1","6","1","0","0","0","0","0","0","0"
"4歳","9","1","4","19","118","9","4","1","0","0","3","6","0","0","0","0","0","0","0","0"
"5歳","6","0","1","28","94","5","1","4","0","0","0","10","1","0","0","1","0","0","1","0"
"6歳","5","0","0","25","77","10","0","4","0","0","1","5","0","0","0","0","0","0","2","0"
"7歳","3","0","0","19","60","3","0","1","0","0","0","6","0","0","0","0","0","0","4","0"
"8歳","7","0","1","11","44","0","1","5","0","0","1","2","0","0","0","0","0","0","1","0"
"9歳","4","0","1","12","28","2","0","3","0","0","0","2","0","0","0","0","0","0","3","0"
"10〜14歳","5","0","1","17","57","0","0","0","0","0","0","2","0","0","0","1","0","0","1","0"
"15〜19歳","5","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","9","0","0","0","46","0","0","0","0","0","1","0","1","0","0","3","0","0","0","0"
"30〜39歳","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0"
"40〜49歳","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0"
"50〜59歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"60〜69歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"70〜79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"合計","68","17","19","146","977","68","17","23","44","0","7","42","8","1","0","15","0","0","12","1"
