"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","10","2","0"
"1〜4歳","0","0","0","0","0","0","5","5","0"
"5〜9歳","0","0","0","0","0","0","3","1","0"
"10〜14歳","0","0","0","0","0","0","1","0","0"
"15〜19歳","4","2","3","3","0","0","1","0","0"
"20〜24歳","51","7","15","20","1","0","3","0","0"
"25〜29歳","48","18","23","20","2","0","0","0","0"
"30〜34歳","21","12","14","12","0","0","1","0","0"
"35〜39歳","26","16","19","17","1","0","2","0","0"
"40〜44歳","25","13","14","13","0","0","1","0","0"
"45〜49歳","18","10","6","19","2","0","2","0","0"
"50〜54歳","8","14","3","1","0","0","2","0","0"
"55〜59歳","2","4","2","2","0","0","5","0","0"
"60〜64歳","3","5","0","2","1","0","2","0","0"
"65〜69歳","1","2","0","0","0","0","7","0","0"
"70歳以上","0","4","1","1","0","0","30","2","0"
"合計","207","107","100","110","7","0","75","10","0"
