"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)"
"〜5ヶ月","0","7","0","0","7","2","1","0","1","0","0","0","0","0","0","0","0","2","0","0"
"〜1歳","0","8","0","0","30","8","1","1","26","1","1","0","1","0","0","0","0","0","0","0"
"1歳","0","14","1","2","76","17","8","0","17","0","2","2","0","0","0","0","0","0","0","0"
"2歳","5","8","3","4","71","19","4","1","3","0","1","5","0","0","0","0","0","0","1","0"
"3歳","2","5","1","13","57","12","11","0","0","0","0","6","1","0","0","0","0","0","0","0"
"4歳","4","1","2","21","50","11","5","1","0","0","1","9","0","0","0","0","0","0","0","0"
"5歳","1","1","0","23","48","9","1","0","0","0","0","3","1","0","0","0","0","0","0","0"
"6歳","2","0","2","10","30","12","2","0","0","0","1","3","0","0","0","0","0","0","1","0"
"7歳","2","0","0","24","16","0","1","1","0","0","0","3","0","0","0","0","0","0","0","0"
"8歳","1","0","0","11","14","2","1","0","0","0","0","2","0","0","0","0","0","0","0","0"
"9歳","8","0","0","12","17","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0"
"10〜14歳","2","0","0","12","34","1","2","0","0","0","0","1","0","0","0","0","0","0","4","0"
"15〜19歳","0","0","0","0","9","0","0","0","0","0","1","1","0","0","0","1","0","0","1","0"
"20〜29歳","1","2","0","14","89","1","1","1","0","1","0","1","0","0","0","1","0","0","0","0"
"30〜39歳","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0"
"40〜49歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"60〜69歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","33","46","9","146","548","94","38","5","47","3","7","37","3","0","0","5","0","2","7","1"
