"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"区中央部","14","3","2","8","6","0","6","0","0","",""
"区南部","1","0","0","0","0","0","0","0","0","",""
"区西南部","11","6","0","0","0","0","4","0","0","",""
"区西部","7","10","18","4","0","0","4","0","0","",""
"区西北部","9","3","0","3","2","0","1","0","0","",""
"区東北部","7","1","0","0","1","0","1","0","0","",""
"区東部","10","1","1","0","0","0","3","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","",""
"南多摩","9","3","0","1","0","0","3","0","0","",""
"北多摩西部","7","0","0","0","0","0","0","0","0","",""
"北多摩南部","0","0","0","0","0","0","8","0","0","",""
"北多摩北部","0","0","0","0","0","0","1","0","0","",""
"島しょ","0","0","0","0","0","0","1","0","0","",""
"合計","75","27","21","16","9","0","32","0","0","",""
