"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","2","0","0"
"1〜4歳","0","0","0","0","0","0","2","0","0"
"5〜9歳","0","0","0","0","0","0","0","0","0"
"10〜14歳","0","0","0","0","0","0","1","0","0"
"15〜19歳","4","0","0","3","0","0","0","0","0"
"20〜24歳","20","2","2","13","0","0","0","0","0"
"25〜29歳","30","7","14","20","0","0","2","0","1"
"30〜34歳","27","1","6","10","0","0","0","0","0"
"35〜39歳","8","6","5","11","0","0","2","0","0"
"40〜44歳","12","3","6","9","0","0","0","1","0"
"45〜49歳","8","5","5","5","0","0","2","0","0"
"50〜54歳","5","4","7","1","0","0","4","1","0"
"55〜59歳","0","0","2","2","0","0","2","0","0"
"60〜64歳","1","0","1","1","0","0","0","0","0"
"65〜69歳","0","0","2","0","0","0","1","0","0"
"70歳以上","1","1","0","0","0","0","22","0","2"
"合計","116","29","50","75","0","0","40","2","3"
