"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"区中央部","23","12","5","18","0","0","7","3","0","",""
"区南部","2","1","0","3","0","0","2","0","1","",""
"区西南部","8","1","1","0","0","0","5","1","0","",""
"区西部","22","18","23","21","0","4","21","5","0","",""
"区西北部","12","8","7","8","0","1","4","4","0","",""
"区東北部","2","1","1","1","0","0","2","1","0","",""
"区東部","12","6","3","17","0","0","1","3","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","",""
"南多摩","0","0","0","0","0","0","1","0","0","",""
"北多摩西部","0","0","0","0","0","0","0","0","0","",""
"北多摩南部","0","0","0","0","0","0","25","2","0","",""
"北多摩北部","0","0","0","0","0","0","8","6","0","",""
"島しょ","0","0","0","0","0","0","2","0","0","",""
"合計","81","47","40","68","0","5","78","25","1","",""
