"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症","STD定点","基幹定点"
"区中央部","12","7","3","2","4","0","2","4","0","0","",""
"区南部","10","0","0","0","0","0","0","0","0","0","",""
"区西南部","1","5","2","0","0","0","0","1","0","0","",""
"区西部","5","8","8","3","3","0","3","0","0","0","",""
"区西北部","11","2","3","1","0","0","2","0","0","0","",""
"区東北部","2","0","0","1","0","0","2","6","0","0","",""
"区東部","13","5","1","1","2","0","2","2","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","0","",""
"南多摩","16","2","0","0","1","0","0","0","0","0","",""
"北多摩西部","17","0","1","2","0","0","0","0","0","0","",""
"北多摩南部","0","0","0","0","0","0","9","10","0","0","",""
"北多摩北部","0","0","1","0","0","0","0","2","0","0","",""
"島しょ","0","0","0","0","0","0","1","0","0","0","",""
"合計","87","29","19","10","10","0","21","25","0","0","",""
