"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","3","0","0","1","12","4","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","","","","","",""
"中央区","10","0","0","0","13","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"みなと","35","0","3","1","30","9","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"新宿区","21","1","1","8","43","2","3","3","2","0","0","1","0","0","0","0","0","0","1","0","0","1","","","","","",""
"文京","21","0","3","2","17","4","0","3","2","0","0","0","0","0","0","1","0","0","0","0","1","0","","","","","",""
"台東","7","2","0","3","40","2","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","18","4","1","3","23","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","","","","","",""
"江東区","41","2","2","11","93","6","0","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"品川区","15","1","0","0","42","2","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","5","0","0","0","12","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","","","","","",""
"大田区","50","6","4","14","110","23","2","8","6","1","0","2","1","0","0","1","0","0","0","0","0","0","","","","","",""
"世田谷","69","0","8","11","92","7","0","17","2","0","0","0","2","0","0","0","1","0","0","0","0","1","","","","","",""
"渋谷区","7","1","1","0","24","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","","","","","",""
"中野区","10","0","0","2","48","5","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"杉並","31","0","1","4","48","6","1","0","1","0","0","2","0","0","0","1","0","0","0","0","0","0","","","","","",""
"池袋","25","1","1","3","32","0","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"北区","24","1","0","6","30","8","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"荒川区","26","3","4","2","32","1","3","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"板橋区","17","1","0","1","54","4","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","","",""
"練馬区","49","0","0","12","60","11","0","1","4","0","0","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"足立","53","4","2","10","90","13","1","0","4","0","0","1","0","0","0","2","0","0","0","0","0","0","","","","","",""
"葛飾区","24","0","2","4","43","5","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"江戸川","43","2","2","19","93","5","0","6","3","0","0","3","0","0","0","0","0","0","0","0","0","0","","","","","",""
"八王子市","53","4","4","21","71","5","0","0","3","0","0","3","0","0","0","0","0","0","0","0","0","2","","","","","",""
"町田市","40","1","1","34","81","6","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","52","1","0","3","46","7","0","1","3","0","0","7","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","35","1","0","9","54","12","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩立川","69","5","0","18","67","7","0","1","2","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩府中","90","4","1","13","109","28","1","2","7","0","0","1","1","0","0","1","0","0","0","0","0","2","","","","","",""
"多摩小平","56","2","7","22","62","14","0","5","4","0","0","0","0","0","0","4","0","0","1","0","0","0","","","","","",""
"島しょ","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","1000","47","48","237","1571","201","13","56","56","1","3","26","5","0","0","17","1","1","3","0","1","8","","","","","",""
