"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","136","2","1","15","117","3","1","0","6","0","0","1","0","0","0","1","0","0","1","1","0","2","","","","","",""
"区南部","164","3","8","18","134","1","2","1","3","0","0","1","1","0","0","4","0","0","0","0","0","0","","","","","",""
"区西南部","218","2","5","19","106","5","0","0","5","1","0","1","2","0","0","1","2","0","0","0","0","3","","","","","",""
"区西部","292","8","10","26","110","3","2","3","4","0","0","1","1","2","0","2","0","0","0","0","0","1","","","","","",""
"区西北部","368","4","3","27","140","6","4","0","7","0","0","5","0","0","0","2","0","0","2","0","0","0","","","","","",""
"区東北部","414","10","7","23","108","3","2","0","4","0","0","1","0","0","0","0","0","0","0","0","0","1","","","","","",""
"区東部","280","7","11","30","133","5","3","0","3","1","0","1","1","0","0","1","0","0","0","0","0","3","","","","","",""
"西多摩","112","0","2","6","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","439","1","5","63","149","11","4","0","1","0","0","5","3","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩西部","194","1","0","9","47","2","0","1","1","0","0","0","0","0","0","1","0","0","1","0","0","1","","","","","",""
"北多摩南部","395","3","8","24","100","8","4","0","2","1","0","2","1","1","0","1","0","1","0","0","0","7","","","","","",""
"北多摩北部","239","8","9","27","85","1","5","2","7","0","0","0","0","0","0","0","0","0","0","0","0","2","","","","","",""
"島しょ","19","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","3270","49","69","288","1249","48","27","7","43","3","0","18","9","3","0","13","2","1","4","1","0","20","","","","","",""
