"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","9","5","0","0"
"1〜4歳","0","0","0","0","0","0","10","16","0","0"
"5〜9歳","0","0","0","0","0","0","14","2","0","0"
"10〜14歳","0","0","0","0","1","0","0","2","0","0"
"15〜19歳","14","8","2","10","1","0","3","2","0","0"
"20〜24歳","46","18","9","18","1","2","2","0","0","0"
"25〜29歳","50","20","15","18","3","2","0","0","0","0"
"30〜34歳","38","21","8","16","0","2","1","0","0","0"
"35〜39歳","28","13","12","17","2","1","0","2","0","0"
"40〜44歳","29","16","9","11","0","0","0","2","0","0"
"45〜49歳","9","10","6","6","2","0","1","0","0","0"
"50〜54歳","4","10","4","5","1","0","5","1","0","0"
"55〜59歳","4","4","1","1","1","0","3","1","1","0"
"60〜64歳","0","5","0","3","0","0","8","0","0","0"
"65〜69歳","0","1","0","0","0","0","5","2","1","0"
"70歳以上","0","4","0","0","0","0","49","13","7","0"
"合計","222","130","66","105","12","7","110","48","9","0"
