"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"〜5ヶ月","0","4","2","0","15","0","0","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","3","6","15","3","144","8","8","7","70","0","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","4","9","41","29","232","10","27","19","97","0","3","3","5","1","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"2歳","6","0","23","51","182","17","9","24","18","0","1","4","2","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0"
"3歳","7","0","21","109","195","10","7","49","2","0","2","12","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4歳","14","0","13","129","170","28","7","53","1","0","1","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5歳","11","0","7","115","144","29","7","57","0","0","3","11","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0"
"6歳","16","0","3","119","104","18","2","44","0","1","3","12","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"7歳","14","0","0","92","90","19","1","30","0","0","1","19","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8歳","7","0","1","90","98","11","1","24","0","0","0","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9歳","5","0","1","63","70","2","1","15","0","2","0","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","23","0","3","91","175","8","2","24","0","3","0","8","2","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"15〜19歳","10","0","0","5","27","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","11","0","3","52","179","2","3","4","0","1","1","2","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30〜39歳","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0"
"40〜49歳","33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","1","0","0","1","0","0","0","1"
"70〜79歳","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","202","19","133","948","1825","162","75","350","189","7","18","104","15","3","0","18","1","0","3","1","4","2","0","0","1","0","0","1","1"
