"疾病名","男性","女性","男女合計","定点数"
"性器クラミジア感染症","158","94","252","55"
"性器ヘルペスウイルス感染症","87","36","123","55"
"尖圭コンジローマ","103","18","121","55"
"淋菌感染症","120","35","155","55"
"膣トリコモナス症","0","11","11","55"
"梅毒様疾患","0","0","0","55"
"メチシリン耐性黄色ブドウ球菌感染症","41","36","77","25"
"ペニシリン耐性肺炎球菌感染症","4","3","7","25"
"薬剤耐性緑膿菌感染症","0","0","0","25"
