"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","2","8","0"
"1〜4歳","0","0","0","0","0","0","0","22","0"
"5〜9歳","0","0","0","0","0","0","3","3","0"
"10〜14歳","0","0","0","0","0","0","0","1","0"
"15〜19歳","3","0","1","3","0","0","0","0","0"
"20〜24歳","17","3","4","11","0","0","0","0","0"
"25〜29歳","19","7","6","13","0","1","1","0","0"
"30〜34歳","22","10","9","19","0","3","1","1","0"
"35〜39歳","16","10","9","11","0","1","0","0","0"
"40〜44歳","14","6","7","7","0","0","0","0","0"
"45〜49歳","11","8","5","5","0","0","1","0","0"
"50〜54歳","9","4","1","4","0","0","0","1","0"
"55〜59歳","1","5","1","0","0","0","2","0","0"
"60〜64歳","0","3","1","0","0","0","6","0","0"
"65〜69歳","0","1","0","0","0","0","2","1","0"
"70歳以上","0","1","0","0","0","0","30","5","0"
"合計","112","58","44","73","0","5","48","42","0"
