"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","11","12","0","0","4","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","","","","",""
"中央区","15","8","0","0","4","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"みなと","67","21","0","2","7","11","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","3","5","","","","","",""
"新宿区","60","24","1","0","7","14","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","6","","","","","",""
"文京","49","16","0","0","5","10","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","13","","","","","",""
"台東","45","10","0","2","9","21","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","60","51","0","0","4","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","","","","","",""
"江東区","89","25","0","0","15","26","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"品川区","86","20","0","0","9","23","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","56","14","0","0","15","10","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"大田区","169","33","2","1","24","62","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","4","","","","","",""
"世田谷","206","53","4","1","20","34","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","2","2","","","","","",""
"渋谷区","38","14","0","0","1","5","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","8","","","","","",""
"中野区","117","31","0","0","21","22","14","0","1","2","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"杉並","155","28","0","2","4","37","8","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","5","","","","","",""
"池袋","43","33","0","1","4","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北区","77","42","0","4","24","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"荒川区","93","19","2","0","11","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"板橋区","107","35","0","1","9","30","0","0","1","1","0","1","0","0","0","1","0","0","0","0","0","0","2","","","","","",""
"練馬区","161","53","0","0","14","40","5","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"足立","122","54","0","10","14","33","0","0","0","2","0","1","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"葛飾区","115","37","0","0","20","26","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","3","","","","","",""
"江戸川","172","49","2","2","21","40","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"八王子市","315","58","3","2","29","52","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","9","","","","","",""
"町田市","133","41","0","0","14","19","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","125","35","0","0","10","18","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","7","","","","","",""
"南多摩","126","27","0","0","8","14","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩立川","261","46","0","1","32","30","1","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","","",""
"多摩府中","355","81","5","4","47","66","0","0","2","3","0","1","1","0","0","1","0","0","0","0","0","5","9","","","","","",""
"多摩小平","310","53","0","4","52","69","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","7","","","","","",""
"島しょ","1","6","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","3739","1029","19","37","458","789","35","7","9","21","1","7","2","0","0","5","0","0","0","0","0","12","92","","","","","",""
