"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"〜5ヶ月","20","11","0","0","3","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","2","1","1","1","0","0","1","1"
"〜1歳","55","18","2","1","67","1","1","0","9","0","0","0","0","1","0","0","0","0","0","0","1","2","0","0","0","0","0","2","0"
"1歳","223","28","7","3","203","11","3","5","28","0","1","3","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2歳","255","8","6","6","109","17","3","4","4","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3歳","196","2","5","12","74","13","5","9","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4歳","217","1","2","13","81","11","2","17","0","0","0","8","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0"
"5歳","211","1","2","24","64","12","3","25","0","0","0","5","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0"
"6歳","189","0","1","15","45","9","0","16","0","0","0","4","1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1","0"
"7歳","139","2","1","24","43","7","3","23","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8歳","141","0","1","18","31","3","0","16","0","0","0","6","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"9歳","94","0","1","15","25","3","0","8","0","0","0","4","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"10〜14歳","460","0","0","28","79","4","0","3","0","0","0","5","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"15〜19歳","243","0","0","4","41","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","541","0","4","30","240","0","0","0","0","1","0","1","0","0","0","2","0","0","0","0","0","3","0","0","0","0","0","3","0"
"30〜39歳","639","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40〜49歳","648","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","330","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","2","1","1","1","0","0","0","1"
"60〜69歳","238","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","4","0","0","0","0","0","4","0"
"70〜79歳","164","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","1","1","1","0","0","3","1"
"80歳以上","85","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","10","0"
"合計","5088","71","32","193","1105","91","21","126","41","1","2","40","7","2","0","11","0","0","2","0","1","32","4","3","3","0","0","26","3"
